LigandID,CAS or NOCAS-number,TC TPO inhibition activity,canonical_smiles
train385,427-51-0,Inactive,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C
train326,124-18-5,Inactive,CCCCCCCCCC
train609,41372-08-1,Active,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
train314,122-62-3,Inactive,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
train250,111-21-7,Inactive,CC(=O)OCCOCCOCCOC(C)=O
train30,57-55-6,Inactive,CC(O)CO
train744,129453-61-8,Inactive,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O
train695,94361-06-5,Inactive,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
train725,117718-60-2,Inactive,COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C2=NCCS2)c1CC(C)C
train67,72-55-9,Inactive,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
test427,1671-75-6,Inactive,CCCCCCC(=O)c1ccccc1
train375,307-24-4,Inactive,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
train178,99-97-8,Active,Cc1ccc(N(C)C)cc1
test378,762-04-9,Inactive,CCOP(O)OCC
train557,19044-88-3,Inactive,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]
train563,22224-92-6,Inactive,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1
train417,709-98-8,Active,CCC(=O)Nc1ccc(Cl)c(Cl)c1
test493,5407-98-7,Inactive,O=C(c1ccccc1)C1CCC1
train617,50594-66-6,Inactive,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
test588,39236-46-9,Inactive,O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO
train118,88-72-2,Inactive,Cc1ccccc1[N+](=O)[O-]
test91,93-99-2,Inactive,O=C(Oc1ccccc1)c1ccccc1
test208,112-80-1,Inactive,CCCCCCCCC=CCCCCCCCC(=O)O
train171,99-55-8,Inactive,Cc1ccc([N+](=O)[O-])cc1N
train716,112529-15-4,Inactive,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
train310,121-91-5,Inactive,O=C(O)c1cccc(C(=O)O)c1
test413,1459-93-4,Inactive,COC(=O)c1cccc(C(=O)OC)c1
train46,62-23-7,Inactive,O=C(O)c1ccc([N+](=O)[O-])cc1
train61,69-09-0,Inactive,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
test122,99-07-0,Active,CN(C)c1cccc(O)c1
train24,55-98-1,Active,NCCc1c[nH]cn1
train468,1929-77-7,Inactive,CCCSC(=O)N(CCC)CCC
train126,91-22-5,Inactive,c1ccc2ncccc2c1
train409,627-18-9,Inactive,OCCCBr
test64,87-24-1,Inactive,CCOC(=O)c1ccccc1C
train279,115-29-7,Inactive,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
train336,131-18-0,Inactive,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC
train807,253450-09-8,Inactive,O=c1[nH]c2ccc(S(=O)CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1
train320,123-33-1,Inactive,O=c1ccc(=O)[nH][nH]1
test236,122-42-9,Inactive,CC(C)OC(=O)Nc1ccccc1
test51,80-09-1,Active,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
train601,34590-94-8,Inactive,CCC(O)OCCCOC
test479,4342-36-3,Inactive,CCCC[Sn](CCCC)(CCCC)OC(=O)c1ccccc1
train840,851916-42-2,Inactive,COC1COCCC1NC1CCC(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)(C(C)C)C1
test441,2110-18-1,Inactive,c1ccc(CCCc2ccccn2)cc1
train420,754-91-6,Inactive,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
train837,686756-87-6,Inactive,CN1C(=O)N(c2ccccc2Br)Cc2cnc(Nc3ccc4c(c3)OCC(CO)O4)nc21
train673,81334-34-1,Inactive,CC(C)C1(C)N=C(c2ncccc2C(=O)O)NC1=O
train313,122-39-4,Inactive,c1ccc(Nc2ccccc2)cc1
test560,21662-09-9,Inactive,CCCCCC=CCCC=O
train127,91-53-2,Active,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
train275,113-48-4,Inactive,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O
train80,77-90-7,Inactive,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
test367,682-01-9,Inactive,CCCO[Si](OCCC)(OCCC)OCCC
train577,25265-71-8,Inactive,CCC(O)OC(O)CC
train206,104-51-8,Inactive,CCCCc1ccccc1
test47,79-14-1,Inactive,O=C(O)CO
train281,115-77-5,Inactive,OCC(CO)(CO)CO
train242,110-05-4,Inactive,CC(C)(C)OOC(C)(C)C
train16,52-86-8,Inactive,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
test621,90357-06-5,Inactive,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
train343,134-62-3,Inactive,CCN(CC)C(=O)c1cccc(C)c1
test215,118-55-8,Inactive,O=C(Oc1ccccc1)c1ccccc1O
train369,271-89-6,Inactive,c1ccc2occc2c1
test26,69-72-7,Inactive,O=C(O)c1ccccc1O
test140,103-76-4,Inactive,OCCN1CCNCC1
test491,5333-42-6,Inactive,CCCCCCCCCCC(CO)CCCCCCCC
test224,119-64-2,Inactive,c1ccc2c(c1)CCCC2
test106,95-93-2,Inactive,Cc1cc(C)c(C)cc1C
train355,142-04-1,Active,Nc1ccccc1
test394,989-38-8,Inactive,CCNc1cc2c(cc1C)C(c1ccccc1C(=O)OCC)c1cc(C)c(NCC)cc1O2
test513,7080-50-4,Inactive,Cc1ccc(S(=O)(=O)NCl)cc1
test438,2044-64-6,Inactive,CC(=O)CC(=O)N(C)C
test19,61-82-5,Active,Nc1nc[nH]n1
test155,107-13-1,Inactive,C=CC#N
train865,1111147-38-7,Inactive,CC(=O)NC1(c2cccc(F)c2)CCN(CCC2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1
train784,180084-01-9,Inactive,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3
train419,744-45-6,Inactive,O=C(Oc1ccccc1)c1cccc(C(=O)Oc2ccccc2)c1
test62,87-01-4,Inactive,Cc1cc(=O)oc2cc(N(C)C)ccc12
