LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
test323,499-83-2,Inactive,*,O=C(O)c1cccc(C(=O)O)n1
train418,712-50-5,Inactive,,O=C(c1ccccc1)C1CCCCC1
train257,111-77-3,Inactive,,COCCOCCO
train348,139-13-9,Inactive,,O=C(O)CN(CC(=O)O)CC(=O)O
train571,23593-75-1,Inactive,,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
train522,5598-13-0,Active,,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
train512,4376-18-5,Inactive,,COC(=O)c1ccccc1C(=O)O
test109,96-83-3,Inactive,*,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
test492,5394-36-5,Inactive,*,CCC1(C)NC(=O)NC1=O
test500,6190-65-4,Inactive,*,CC(C)Nc1nc(N)nc(Cl)n1
test117,98-51-1,Inactive,*,Cc1ccc(C(C)(C)C)cc1
train553,15972-60-8,Inactive,,CCc1cccc(CC)c1N(COC)C(=O)CCl
train272,112-53-8,Inactive,,CCCCCCCCCCCCO
test242,123-05-7,Inactive,*,CCCCC(C=O)CC
train380,330-55-2,Active,,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
test367,682-01-9,Inactive,*,CCCO[Si](OCCC)(OCCC)OCCC
train399,556-67-2,Inactive,,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
train741,127308-82-1,Inactive,,c1ccc(C(OC2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1
train317,123-01-3,Inactive,,CCCCCCCCCCCCc1ccccc1
test394,989-38-8,Inactive,*,CCNc1cc2c(cc1C)C(c1ccccc1C(=O)OCC)c1cc(C)c(NCC)cc1O2
train286,117-39-5,Active,,O=C1C(=O)C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
train362,149-57-5,Inactive,,CCCCCCCC(=O)O
test364,644-97-3,Active,*,ClP(Cl)c1ccccc1
