LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
test95,94-47-3,Inactive,*,O=C(OCCc1ccccc1)c1ccccc1
test377,760-23-6,Inactive,*,C=CC(Cl)CCl
train15,52-68-6,Inactive,,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
test427,1671-75-6,Inactive,*,CCCCCCC(=O)c1ccccc1
test244,123-11-5,Inactive,*,COc1ccc(C=O)cc1
train150,95-87-4,Inactive,,Cc1ccc(C)c(O)c1
test16,58-86-6,Inactive,*,OC1COC(O)C(O)C1O
test352,611-20-1,Inactive,*,N#Cc1ccccc1O
test208,112-80-1,Inactive,*,CCCCCCCCC=CCCCCCCCC(=O)O
train87,79-06-1,Inactive,,C=CC(N)=O
test320,493-52-7,Inactive,*,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1
test639,143390-89-0,Inactive,*,CON=C(C(=O)OC)c1ccccc1COc1ccccc1C
train45,60-56-0,Active,,CN1CC=NC1=S
test544,16219-75-3,Inactive,*,CC=C1CC2C=CC1C2
train797,210880-92-5,Inactive,,CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1
test300,150-76-5,Active,*,COc1ccc(O)cc1
test545,16587-71-6,Active,*,CCC(C)(C)C1CCC(=O)CC1
test266,127-41-3,Inactive,*,CC(=O)C=CC1C(C)=CCCC1(C)C
test329,525-82-6,Inactive,*,O=c1cc(-c2ccccc2)oc2ccccc12
train32,57-83-0,Inactive,,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
train445,1156-19-0,Active,,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
test413,1459-93-4,Inactive,*,COC(=O)c1cccc(C(=O)OC)c1
test428,1724-39-6,Inactive,*,OC1CCCCCCCCCCC1
train482,2385-85-5,Inactive,,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
test78,90-05-1,Active,*,COc1ccccc1O
train818,353280-07-6,Inactive,,CC(C)(O)c1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)NON3)cc1
test575,27344-41-8,Active,*,O=S(=O)(O)c1ccccc1C=Cc1ccc(-c2ccc(C=Cc3ccccc3S(=O)(=O)O)cc2)cc1
train107,86-50-0,Active,,COP(=S)(OC)SCn1nnc2ccccc2c1=O
train601,34590-94-8,Inactive,,CCC(O)OCCCOC
test3,50-27-1,Active,*,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
test150,106-23-0,Inactive,*,CC(C)=CCCC(C)CC=O
test140,103-76-4,Inactive,*,OCCN1CCNCC1
train485,1/6/2425,Inactive,,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
train420,754-91-6,Inactive,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
test564,23089-26-1,Inactive,*,CC(C)=CCCC(C)(O)C1CC=C(C)CC1
train869,1111148-50-9,Inactive,,CCCN(C1CCN(C(=O)C2CCNCC2)CC1)C1CCc2ccc(OC)cc2C1
test524,13171-00-1,Inactive,*,CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C
train280,115-32-2,Inactive,,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
train796,200940-23-4,Inactive,,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2
train164,98-86-2,Inactive,,CC(=O)c1ccccc1
test94,94-46-2,Inactive,*,CC(C)CCOC(=O)c1ccccc1
test215,118-55-8,Inactive,*,O=C(Oc1ccccc1)c1ccccc1O
test217,118-58-1,Inactive,*,O=C(OCc1ccccc1)c1ccccc1O
