LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
train72,76-87-9,Inactive,,CCC(CO)CCCCOC(=O)CCCCCCC(=O)OCCCCC(CC)CO
train73,77-09-8,Active,,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
train74,77-40-7,Active,,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1
train75,77-47-4,Inactive,,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
train76,77-48-5,Inactive,,CC1(C)C(=O)N(Br)C(=O)N1Br
train77,77-71-4,Inactive,,CC1(C)NC(=O)NC1=O
train78,77-78-1,Active,,COS(=O)(=O)OC
train79,77-89-4,Inactive,,CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC
train80,77-90-7,Inactive,,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
train81,77-92-9,Inactive,,O=C(O)CC(O)(CC(=O)O)C(=O)O
train82,77-93-0,Inactive,,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
train83,78-42-2,Inactive,,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
train84,78-48-8,Inactive,,CCCCSP(=O)(SCCCC)SCCCC
train85,78-59-1,Inactive,,CC1=CC(=O)CC(C)(C)C1
train86,78-63-7,Inactive,,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
train87,79-06-1,Inactive,,C=CC(N)=O
train88,79-16-3,Inactive,,CNC(C)=O
train89,79-39-0,Inactive,,C=C(C)C(N)=O
train90,79-43-6,Inactive,,O=C(O)C(Cl)Cl
train91,79-44-7,Inactive,,CN(C)C(=O)Cl
train92,80-08-0,Active,,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
train93,80-15-9,Inactive,,CC(C)(OO)c1ccccc1
train94,80-43-3,Inactive,,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1
train95,81-81-2,Inactive,,CC(=O)CC(c1ccccc1)C1C(=O)Oc2ccccc2C1=O
train96,82-68-8,Inactive,,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
train97,83-32-9,Inactive,,c1cc2c3c(cccc3c1)CC2
train98,83-41-0,Inactive,,Cc1cccc([N+](=O)[O-])c1C
train100,84-66-2,Inactive,,CCOC(=O)c1ccccc1C(=O)OCC
train101,84-69-5,Inactive,,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
train102,84-74-2,Inactive,,CCCCOC(=O)c1ccccc1C(=O)OCCCC
train103,84-75-3,Inactive,,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
train104,85-01-8,Inactive,,c1ccc2c(c1)ccc1ccccc12
train105,85-68-7,Inactive,,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
train106,86-30-6,Inactive,,O=NN(c1ccccc1)c1ccccc1
train107,86-50-0,Active,,COP(=S)(OC)SCn1nnc2ccccc2c1=O
train108,86-73-7,Inactive,,c1ccc2c(c1)Cc1ccccc1-2
train109,87-61-6,Inactive,,Clc1cccc(Cl)c1Cl
train110,87-62-7,Inactive,,Cc1cccc(C)c1N
train111,87-69-4,Inactive,,O=C(O)C(O)C(O)C(=O)O
train112,87-86-5,Active,,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
train113,87-90-1,Active,,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl
train114,88-06-2,Inactive,,Oc1c(Cl)cc(Cl)cc1Cl
train115,88-12-0,Inactive,,C=CN1CCCC1=O
train116,88-18-6,Inactive,,CC(C)(C)c1ccccc1O
train117,88-58-4,Active,,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O
train118,88-72-2,Inactive,,Cc1ccccc1[N+](=O)[O-]
train119,88-85-7,Inactive,,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
train120,89-04-3,Inactive,,CCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC)c(C(=O)OCCCCCCCC)c1
train121,89-72-5,Inactive,,CCC(C)c1ccccc1O
train122,89-83-8,Inactive,,Cc1ccc(C(C)C)c(O)c1
train123,90-04-0,Active,,COc1ccccc1N
train124,90-12-0,Inactive,,Cc1cccc2ccccc12
train125,91-20-3,Inactive,,c1ccc2ccccc2c1
train126,91-22-5,Inactive,,c1ccc2ncccc2c1
train127,91-53-2,Active,,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
train128,91-59-8,Active,,Nc1ccc2ccccc2c1
train129,91-62-3,Inactive,,Cc1ccc2ncccc2c1
